,crowd,text
3443,1,"The explanation about Shepard's death being a botched drug deal has not been proven. Evidence has since surfaced that suggest the killer had sex with Shepard but experienced self-loathing for it due to societal pressure then cracked. Regarding the Orlando killer, it's possible that he was gay, but he was a Muslim who lived with a woman he called his wife, and law enforcement officials have stated that he scoped out the nightclub where he killed people weeks before gunning those people down, and even went on Grindr in order to try and understand the mindset of gay men before he proceeded with his heinous atrocity. Some of the men he met on Grindr testified that they never had sex and that he was so """"creepy"""" they left before anything happened.  But how telling that you would immediately jump to those particular conclusions in order to demonize all gay men as you typically do. Sick.
"
3444,1,"Sorry you had such a terrible time with ACA.  I know very many, including myself, who are quite happy with it.  Rising costs are a function of insurance companies raising their rates to enrich their shareholders.  Keep telling yourself Pres. Obama lied too if it makes you feel better; he never insulted our intelligence to the point of telling us up was down, or light was dark.  It is insulting that Trump believes we are so stupid.
"
3453,1,"Funny how you right wingers always think sexual conduct between two consenting adults is the same thing as sexual harassment.
"
3462,1,"Truer words were never spoken. He's a f-----g idiot.
"
3469,1,"Hey Harvey, let's kick out all the sick people who cost so much to care for.  Makes as much sense as your rant.  Any other groups you don't like while you are at it?
"
3479,1,"Oh, that is ridiculous. That old saw about guys who don't like gays are probably closet gays. Wow, I guess you really told them, eh! lol
"
3481,1,"It would be funny if it weren't sad to watch all these morally pure liberals preaching about """"goodness""""!from their high horses and over-simplifying history without understanding it. No room for nuance just scream """"Nazi"""" ir """"racist"""" at everyone who disagrees
"
3497,1,"better a muslim than an eskimo?
"
3504,1,"This story makes me ashamed to be Canadian. Khadr and his family are treasonous cowards - they are disgrace to this country and should be deported to Pakistan. This is an insult and stab in the back to the families of the men and women who died fighting the cowards of the taliban. Khadr's mom told the cbc she used to cheer when the news announced a Canadian soldier was killed in Afghanistan. This is a disgrace to the men and women from the Canadian Forces. This is a national embarrassment and hopefully Khadr doesn't see a dime and he can finally pay the US medic's family for the $134 million judgement against Khadr. The Khadr's are a stain on Canada.
"
3508,1,"Tump is a buffoon, but that does not mean he is wrong on this. He just did it the wrong way. This is the number one issue in Europe right now, we should study where they went wrong before following down the same path. Taking 90 days to review hardly seems like it will hurt anyone, after all Canada say's they'll take people the US rejects so let's take them up on the offer.
"
3512,1,"Your a moron. Those laws are for burying caskets not an urn. You can bury that anywhere on your property. I swear commonsense escapes so many people these days
"
3515,1,"If you throw crap at a fan enough times, it will eventually stick, which evidently is the GOP idea of passing laws.
"
3538,1,"At least you didn't call Trumpsters all Nazis, racists, bigots, sexists and KKK's this time like all the other Hillarycrat neocons do.
"
3541,1,"I bet a black cop called you a white trash felon, you would take offense
"
3546,1,"Dan Sullivan is a true brown noser.  Trump barks, he jumps after asking how high.
"
3547,1,"He is a cringing coward expecting other councilors  to do his dirty work. He is afraid BLM will rally thousands of Black youth and gangs to riot all over downtown again.    He doesn't want to be held accountable for that so he smiles and sells out the gay community.
"
3560,1,"The corruption of Big Science by the CAGW scam and the hysterical reporting of that and many other science stories in the media have also led otherwise well-educated and open-minded folks to become less complacent about trusting the science-government complex. Eisenhower warned about this in his Farewell Address, in the paragraphs following the better-known Military-Industrial Complex warning.  PS Calling people morons doesn't make them so.
"
3576,1,"The American government could do what it's done with many other violent groups - declare the white supremacists to be terrorist organizations and make them illegal. They could then go after their funding even if they don't throw their members in jail.  Why should fascist terrorists be tolerated when Islamic terrorists are not?
"
3578,1,"I really thought after Sandy Hook where all those little kids were killed that finall the US would see sense... but no. So I agree, nothing will happen after this shooting. Just pick up the bodies and wait for the next time. Stupid, violent country.
"
3620,1,"I said family values. You do recall the 80s I presume.  Ralph Reed? Pat Robertson?  Jimmy Swaggart?  Oral Roberts? You know, those kinds of family values. Are you saying that singles voted for Hillary? Married couples don't vote as en bloc as much as they used to.  Anyhow, we are getting far afield from your original point, that blacks are """"40 times more likely"""" to commit a violent crime than whites.   That's a rather broad claim, and I doubt that your source for same bothered to adjust for proportionality (read: take into consideration that blacks make up only 13% of the population).  https://www.channel4.com/news/factcheck/factcheck-black-americans-commit-crime  While I'm on the topic of broad claims, can we stop saying """"fake news""""? It is intellectually lazy in the extreme. A blanket condemnation of an entire profession is stupid.  Approach each news story as it comes and discredit it if you can, but journalism is about all we've got left to ride herd on these cowboys and girls.
"
3686,1,"All your comments make you sound like the clown!
"
3688,1,"Sounds like your students are real losers. Maybe it's hereditary?
"
3699,1,"i think the idea is inane.  but, equally inane is the reaction of john baird, minister of foreign affairs in the late government.  he denounces the removal of names as 'political correctness gone awry'.  this would be the same john baird who had the words 'lester b pearson building' deleted from his business card.   why was that, john?  buzz off, you hypocritical goof.
"
3702,1,"""""they said, their presence to some black, gay or transsexual people was seen as threatening.""""  Oh really, when a dangerous homophobic, racist nutter in the pride parade loses his steam and starts a brawl, who do these blacks and LGBT think will be the first in line to help bring the nutter to justice? Unicorns? Fairies? Tupac Shakur?
"
3718,1,"Right, so why don't you just state what type of animal you think blacks are? You characterize human beings as less than farm animals. RACIST POS.
"
3725,1,"Great letters! Will Gay? I hear ya. It sucks.
"
3729,1,"brad12, you voted (D)onkey at every election! Go live with it now you hypocrite! LOL
"
3753,1,"Hey you idiot.  Did you notice that the article said nothing about science or climate change.  It stated facts:  the ice cap is melting, Greenland is melting and temperatures are rising.  The article said nothing about the cause.  Are you MAGAphant so stupid that you can't understand the facts.  You're all allowed to have your middle age minds think of the reasons this is happening, but it IS happening.  With you Fox lapdogs, you always state that the earth  is always warming or cooling.  And now it is warming.  You can crawl back in your hole again. The article didn't blame humans.
"
3760,1,"Mexico doesn't pay,  then no wall,  and NO exceptions. No hand waving """"Mexico will pay through tariffs"""" garbage,  either. Tired of the hollow campaign promises. The ACA was another that the country let pass when it came nowhere close to the B.S. Obama campaigned on.
"
3764,1,"No. The Rebel and its pathetic chief, Ezra Levant, needs to act like a serious media outlet rather than the Sun or National Enquirer.
"
3770,1,"Pitts has made a nice living for a long time by insulting white Everyday Americans. In his world, if you're white, you're a racist. I suggest Mr. Pitts tries looking in a mirror one time in his search for racism.
"
3781,1,"Republicans are hypocrites, but you knew that already.
"
3786,1,"Me neither, another Liberal government given how useless Scheer is and the NDP still having no leader, let alone a discernible direction.
"
3796,1,"Sir, the party of Lincoln is not the Republican party of the present.  As soon as the Civil Rights Act of 1964 was signed, Southern dixiecrats moved over to the Republican party so as not to be in the same party as black people.   KKKers are Republican, now.
"
3806,1,"Have you noticed that you're the one spending your time on Canadian media and commentary, spreading your bigoted neurotic dislike of us?  I mean, if the USA is so fantastic then why even care about insignificant Canada?
"
3807,1,"Bennett is a dead politician walking. Her reputation is not likely to survive this train wreck.   Justin will toss her under the bus if need be, rather than risk his own glory.
"
3809,1,"A big mistake by the Libs to rile up white voters.
"
3817,1,"yup and they all have alot to be afraid of Muslim Terrorists disguised as journalists, thought leaders, etc Liberals Globalists Communists disguised as conservatives Bureaucracies Apparatchiks University slobbering leftist fascists who stop all free speech  Shall I continue..... We voted Trump in the stop the psychopathy of the left. It has exposed you all for what you are. You are fascists and hate everyone unlike you.  Clearly we did the right thing ans wil do sao again in the election. That should pretty much you, the CNN revisionists, and the NYT over the deep end. Civil war in coming Man up
"
3839,1,"Because small business is evil. Didn't your read your Day Of Rage mailers? Bad Fascist!
"
3845,1,"The future of what?   Germany and France will become  overtaken by the invaders that Merkel and her useful idiots let in....China,  well they have their eye on Canada!
"
3853,1,"…except, Trump is trying to impose fascism here in the same way the Soviets controlled their press. And it's not 'entertainment' responsible American citizens are concerned with, it's Trump's treasonous intent to destroy American tenets and ideals.
"
3858,1,"I have, and worse. In fact, at a company event, a runt of a man, a top performer of my company, full of liquid courage, looked me right in the eye and slurred, """"we don't like n*ggers."""" One of his colleagues looked at him in horror and demanded he apologize to me, and he slurred that he was """"just kidding,"""" but of course, he wasn't. That was back in the day. I have many more stories. If I knew then as a very young woman what I know now, I would have filed many, many, many complaints.
"
3859,1,"Yea,  it's random selection,  then he picks the dumbest people to go on air.
"
3880,1,"Recreational drug users  kill themselves with Fentany and the  gentry of the Administrative State offer therapeutic solutions that whitewash the  indulgent stupidity of the deceased.
"
3897,1,"Trumps election shouldn't have been that surprising.  Ever since Goldwater the Republican Party has used fear to get votes.  Nixon used his """"southern strategy"""" to appeal to white racists.  Reagan continued it with his talk of Cadillac driving welfare queens.  Trump is the logical conclusion to a half century of campaigning on fear hand hate.
"
3907,1,"Flag this fat bimbo
"
3935,1,"critics . criticize what a surprise... all you hate filled losers need to remember this basic fact. POTUS Donald J Trump is obamas legacy. that and 8 years of utter failure. . now continue making your snarky and compleyely insignificant rnemarks.. enjoy your misery.
"
3943,1,"Trump is Putin's lap dog, no doubt about it.
"
3947,1,"YOU LIE!  You have NEVER welcomed the Republican Party.  And your hate for President Trump is exceeded only by Charles Dalton's hate for white people.
"
3953,1,"Alabama Evangelical Voters Don't Care How Many Underage Girls Roy Moore Molested-- Here's Why From rape to who got abortions, to how evangelical churches protected their pedophile molesters, one story emerged: Protect the 'Work' at all costs! The children who a pastor rapes are told to keep silent less they 'Hurt the Lord’s Work.' And the children are blamed: 'Your skirt was too short! You led him astray!' There's never any acceptance that a pervert walks among them.
"
3967,1,"The president is an imbecile and a failure.  He needs to be removed from office.
"
3975,1,"She should be fired, period!
"
3981,1,"Bigzim, I concur with you. A blind 4% withdrawal rate is already dumb enough. The correct withdrawal rate is specific to ones circumstances. Now 2% to 3%? Dumber!
"
3991,1,"No.  Trump adopted the phrase 'America First' because it was an old racist Nazi buzzword from years ago. It was a dog-whistle siren call to his white supremacist brethren. Then Bannon spewed out some word salad for Trump to further butcher in an attempt to deny it. They came up with the empty 'isolationism' that Trump immediately denied when he met with Merkel. Trump never had any foreign policy, other than looking to skim money wherever he could. He's a petty con man, not an actual reasoned or sane human being, he's a fraud. He's imbalanced, unfit for office. Now we have a weak and insecure, belligerent child who imagines himself a fascist saviour. He's no more than an egotistical juvenile buffoon. We need to remove him from the office, get him out of office now.  Trump is a white supremacist, Nazi sympathizer who should be removed from office.
"
3996,1,"I would agree with you if those arguments you cite were reasoned.  Too often the charlatans that make up the right wing media machine will do a multi-show """"expose"""" on some liberal conspiracy, only at the very end say that they found nothing.  Unfortunately the rubes that truly believe this idiocy don't hear the short bit that claims the previous week's shows were all just speculation.  I listened to it with Beck and the FEMA camps, and it happened again and again through the entire Obama administration.  As for the idiots on college campuses, that is a whole other bag of poo, the kids there can't seem to understand free speech.  Bear in mind, though that just because you have a right to say something doesn't mean that you will find an audience that doesn't think you a fool.  The best thing that could be done to folks like Coulter, is when they speak at a college, no protests, but instead, let speak, their foolishness will be enough.
"
4034,1,"Personally, having been to a big city and seen big city conmen at work, I think you had to be incredibly naive to believe anything Trump was saying before the election.  But at this point there is no longer any excuse.  There is absolutely no reason to lend any credence to any of the garbage spewing forth from Trumps mouth.  It's all BS.
"
4038,1,"Good heaven's I see the posting board is full of bleeding hearts. China can go pound sand! Good on President-elect Trump for initiating a tone that puts these totalitarian scum bags back in their place.
"
4039,1,"Yes, some lawyers are scum, but still...16?
"
4057,1,"You must be brain dead.  Did you miss the whole point of Muñoz criticism.  He made belittling comments about women's appearance.  That was the problem.
"
4065,1,"""""sleepingdragon""""- is that a euphemism that you are a drug addict? Just asking.
"
4077,1,"Tony M, obama is a leader? Huh? prez o is the closest thing to a fascist we have ever had in the white house. His arrogance is boundless, his ego unfettered, and he a gutless brown noser. All one need do is look at the sham of a deal he and kerry made with the Iranians to see that. obam does not get much respect because he doesnt deserve it. Hence, most commenters here see him as the blowhard back pedaling narcissist that he is. Get a dictionary and look up leader.
"
4091,1,"Apparently it doesn't matter if you have a permit...you get shot anyway.
"
4101,1,"Druggies are their own worst enemy, just like unprotected sex is a babies worst enemy.  I meet Gary at the Steelhead downtown Eugene for lunch.  Mostly we talk about wood. But I don't think he's a stereotype.  Yes, he's left and I'm right, but we do see common ground frequently.  I'm tempted to bring up a point or two, but we don't want to argue. Discuss of course.  He disses my points and I cuss his! haha
"
4109,1,"You can yap about racist and bigot as that is all you have to yak about.  Nobody cares any more.  Why not get yourself a Model T Ford and you can go around ranting about racist and bigots all day and night.  I will pay for you to go to  N. Korea and rant racist and bigot.  Why do you do it here 24/7? In large parts of the world you would get the firing squad.  You can run your ignorant yap here because of your betters that fought for your worthless duff on foreign soil.
"
4136,1,"Right. It's ALWAYS the fault of women.  Must be nice, having an entire sex to scapegoat.
"
4139,1,"With so many people making the news today by claiming to be gay, it will not be many years before someone makes the news by claiming to be straight.
"
4164,1,"Who cares? All red progressive dirty propaganda!  No one is a hater on the planet than white progressives who hate their own skin color, race and country!  Only in America!
"
4169,1,"Death to democrat Traitors.
"
4191,1,"yes, that all sucked, and republicans were pure as snow...
"
4196,1,"I listened to them blowing off fireworks late into the night and in some incomprehensible way the word fireworks can't even be uttered at the trial. All the spent fireworks in the pictures were blackened out.  It was hot, windy and damn dry. I thought to myself. """"Who'd be stupid enough to be shooting off fireworks in this weather?""""  The next morning we all found out. I'm looking at all that burned black spruce right now.  I can't write what I really think.
"
4198,1,"Arab language and English language Al Jazeera are completely different television. Arab one promote hatred and violence.
"
4260,1,"Mr. Albertson, one of the news stories said his last $2500 he was out on was unpaid. It also wasn't his first time. He only spent 23 days for that one. The next one should have resulted in some added jail time. One innocent person died because of this thug. To me, that's one too many. You can coddle these addicts if you like, most of us don't think they need to be.
"
4282,1,"Mason: """"in B.C., the Liberals try to stifle their laughter at how stupid these other governments are. Why would any party give up a huge electoral advantage like the one the Liberals in B.C. have when people don’t care about it anyway?""""  We might have many more caring, now that the New York Times has lit a nice fire under the corrupt practice. The BC Liberals will not change the practice as long as they are in power. Solution: kick them to the curb and make our democracy a more even playing field.  All other parties have pledged to do away with union and corporate donations.
"
4293,1,"In my opinion, do you mean the Charter of Responsibilities of a Citizen? Oh, I forgot, we don't have such a thing....darn....
"
4335,1,"The buffoon uses a tragedy to play politics.  Typical trump petulance and ignorance.
"
4347,1,"The problem is that there is no equivalent to a PATRIOTIC  party, that TRULY would FIGHT for this Country. It is sold, owned by scavengers, rotten corrupted politicians who only think in their shit-soiled pockets. It is the same all over the world. This world is dominated by EVIL.
"
4374,1,"I agree Louie was nothing more than a PWhipped lapdog to a really disgusting looking matron that is even more ugly then UGLY!
"
4422,1,"It all convoluted however you say it, TRUDEAU/MORNEAU are idiots.  They have a spending problem not a tax problem.  Vote them out NOW !
"
4458,1,"I wasn't aware that white people were held in slavery in this country, and then subjected to jim crow laws and segregation. I missed that part of our history.
"
4460,1,"The shame of it is that they are male nurses...
"
4484,1,"AND the oil now goes on TRAINS - way less safe than pipelines.  The COE and Obama are spineless lawless cowards
"
4496,1,"Yes, but it hit a nerve and is accurate.  Ott gets the short straw, right?  Which is what I posted, not really anything new, and yet you went all ballistic and started defending Rogers, and citing information commonly-known.  You are easily perturbed and permanently outraged, not stating anything that is not obvious.
"
4549,1,"You must be wavefaker. Nobody else could dream up such a stupid name
"
4555,1,"Trump said he will make America great again.  He blames illegal immigrants, Muslims, Socialists, Communists taxes ... Hitler said would """"Make Germany Great Again"""".  He blamed Jews, Socialists. Communists and others ...
"
4568,1,"What a petulent, petty, vile, lying little man he is. So incompetent at everything he touches.
"
4571,1,"Just go away Donkey Ears... EE YAH, EE YAH!!!
"
4595,1,"They’re still holding panels with Trump-voting idiots as if  they were founts of homespun political wisdom,  ...instead of being the mush-brained goobers who have plunged our country into an interminable series of political, international and moral crises that they are.
"
4599,1,"Why would the daughter of a draft dodger, who has just slapped the face of every serving American transgendered person be chosen for a ceremonial task of honour?  Time to for the government to remove her from the guest list.
"
4600,1,"Trump has made some mistakes.  He will make more.  But none will be as stupid as the one Democrats made in nominating someone as terrible as Clinton.  With Her they made all this possible.  And part of why they are so mad now is:  They all know it.
"
4601,1,"Yes, we would be here. Everyone who is not liberal is a racist, homophobic misogynist as far a liberals can see. We had the same riots when Nixon and Reagan were elected. Coretta King claimed that Reagan would usher in the KKK. So ya, its what liberal do and its pretty regular.
"
4623,1,"You are a horrible, selfish person, as are those who agree with you.
"
4627,1,"Hey, nobody wants to see anybody lose a good job...but Trump beating his chest over this...is sad and arrogant...first off there are almost 2100 jobs at that plant.  Secondly, wait for the details, because this Trump sociopoath liar And lastly, Obama with one deal saved 250,000 jobs and created about 1.2 million...  Trump is a joke...and unfortunately the fact that he's been handed the presidency...he now has credibility like he has never had before...and he doesn't deserve it...this is one ignorant old white man if ever there was...so for the first little while...until he is impeached for wrong doing...all claims by Trump must be treated as suspect.
"
4633,1,"Such an ignorant action. This is why liberalism is failing.
"
4640,1,"Jihadism is a collective mental illness....
"
4649,1,"""""Fat, drunk and stupid is no way to go through life, son.""""  ~ Dean Wormer
"
4654,1,"An absolute and dangerous moron.
"
4662,1,"I think your apples are of the kind that fall out of the tail end of a horse - or more appropriately for a Democrat, a donkey.
"
4686,1,"Statements like this just muddy up the water and make a bad, Fake News situation even worse.  At this point, it would seem to me that *transparency* is much more important than, """"a long-established policy to neither confirm nor deny such allegations"""".  If WaPo and NYT are full of crap, the DOJ should just come right out and SAY they are full of crap.
"
4690,1,"The Tory leaders have already indicated they want Canada to roll over on its back and beg to be loved by the American Ayotallah.  Disgusting. We are our own country. If we want to invite Biden, we should do so.
"
4693,1,"Was I supposed to read all of that? I need a new pen name to comment on all this propaganda. Let's start with the, save me from firework emissions and noise bullshit. You people are the same ones with a Darwin fish on your Prius. Adapt and stop being such pusssies. -war veteran
"
4730,1,"Driskill, that is one stupid post. Sounds to me like you're the one with a crisis.
"
4744,1,"Comedy; apparently women are so stupid that unless they go to a religious funded clinic they will never attain any of the free contraception offered by countless liberal clinics throughout every state.
"
4748,1,"it's time we the majority spearhead the 1% who are to lazy to feed themselves. We are the ones who have payed for all are amenities and now they intend to kill us off so the scum can have it all. Come on people, there are more of us than them. They will perish.
"
4775,1,"Agree entirely. There must be 100 people in downtown Toronto concerned about this. What silly foolishness.
"
4778,1,"Ridiculous.  Inane post of the day!
"
4781,1,"Trump's approval rating is just shy of 39%, disapproval just over 55%. In a few years time the number of people willing to admit they voted for the moron-in-chief will have sunk to about 10%.
"
4826,1,"Micciche is hoisting a false flag.  The income tax is based on the Net Taxable income afte deductions and loopholes.  Micciche would be an idiot not to know this.  Micciche is running smokescreen in hopes that Alaskan's fall for an Income tax, so that fair taxation of Wealthy, businesses, and corporations can't occur.
"
4859,1,"LOL, I got under your skin! Who's the loser now ????
"
4880,1,"Putin's Poodle is mentally unbalanced?  So we have another Nero who's gonna be fiddling while the white house burns down around him? The only justice coming out of this is that the idiots who voted for this treasonous orange haired Russian poodle, is going to be stuck on the same boat as the rest of America
"
4888,1,"Trump committed a crime and should be prosecuted for it to the fullest extent of the law.  Here is the federal criminal code that would be used to prosecute Trump if officials were to deem his remarks a true threat.  “18 U.S.C. § 879 : US Code - Section 879: Threats against former Presidents and certain other persons:  (a) Whoever knowingly and willfully threatens to kill, kidnap, or inflict bodily harm upon - (1) a former President or a member of the immediate family of a former President; (2) a member of the immediate family of the President, the President-elect, the Vice President, or the Vice President-elect; (3) a major candidate for the office of President or Vice President, or a member of the immediate family of such candidate; or…”  TRUMP IS A CRIMINAL
"
4891,1,"""""TRUMP IS SIMPLY AN UTTER BUFFOON"""" """"TRUMP IS ILLEGITIMATE"""" """"IMPEACH TRUMP""""  Shareblue out in full force today.  BTW ISIS is Sunni. Iran has been fighting ISIS. Our """"allies"""" (Saudi, Kuwait) are the largest sponsors of terrorism.  I'm glad this """"report"""" helped clarify /s.
"
4894,1,"Lies - to You writes:  """"Maybe if you actually read the report instead of trying to dismiss it you would not need to ask stupid questions, Darcy.""""  --  Translation:  """"No, I can't explain what exactly this has to do with Ms. Freeland""""  Thanks for your response.
"
4897,1,"The most elegant solution would be to dump the two crazies (trump and kim) on a deserted island so they can satisfy their bloodthirsty urges.  I would bet, however, that they would just scream at each other and take no action.  Neither are in any shape to fight!
"
4908,1,"If it was white supremacists training other white supremacists, Osama would have shut that shit down in a heartbeat. Now that it's black supremacists training other black supremacists and white traitors, it's OK. Fuck out of here.
"
4917,1,"Calling a special session because you are so greedy that you can't wait until January to fix your stupid mistake is childish. The Democrat Party just can't wait to take away taxpayers' rights and property. Good for Republicans IF they stop this.
"
4954,1,"very nice.  care to post any other relevant pics. you do know by using this comments forum to post  your soft kiddy porn pics, you've trashed any credibility you may have had.  Ward 1 in Springfield - you are forever to be known from this point forward as the worst fool/troll seen on this site.  I will forever copy this post when your user name comes up if in any way relevant to the subject... and yes his last 3 wives?  (marla maples must be a super subservient personality) 10 girlfriends? were eastern European?
"
4971,1,"The post said  I do not trust """" PP about caring for women's rights"""". Spin. It's all canned heat. When you remove authority from parents to teach children your families accepted behavior then that void is filled with someone else's idea of what is accepted. That as we see kids losing their compass and follow idiotic ways of Hollywood.
"
4984,1,"The Nazis treated anyone not Aryan as not human. The Confederacy *explicitly* said that blacks were inferior to whites and can only be slaves.  You're splitting hairs to rationalize the CSA. Why?
"
4990,1,"Yes, as so far as it is about sex and power. The abuse of sex. The abuse of power. And it is so with both the sick perverted clerics who abused the power of their position, abused sex itself, and worst of all abused children AND the facilitators, enablers, managers, deniers, obfuscators, resisters. Your persistent homophobic assertions are wrong, harmful and """"objectively"""" sinful. You may be right that there were elements of """"protection of a network of exploiters"""". However, there is absolutely no truth whatsoever that it was not a further abuse (of sex and authority) in protecting position and the money and the status of """"church"""" by sacrificing children.
"
4998,1,"The biggest problem facing them is 90% of them suck.
"
5007,1,"All true.  Oddly, not just a liar and a weak bully, Trump is just a terrible negotiator as we are seeing.
"
5025,1,"A mistake to ruin his career??  Are you smoking crack?  He's an admitted communist you moron!
"
5045,1,"And conveniently (but not surprisingly) NASCAR is all white, no pesky blacks to upset the fans.
"
5047,1,"Excellent article in today's NYT:  """"Trump and the True Meaning of ‘Idiot’"""" https://www.nytimes.com/2017/06/12/opinion/trump-and-the-true-meaning-of-idiot.html  To quote:  """"In ancient Greek society, an idiotes was a layperson who lacked professional skills. The idiot contributed nothing to public life or the common good. His existence depended on the skill and labor of others; he was a leech sucking the lifeblood from the social body. Related to this, idiocy (from the root idios, 'one’s own') was the state of a private or self-centered person. This contrasted with the status of the public citizen, or polites, such that to be an idiot was to be withdrawn, isolated and selfish, to not participate in the public, political life of the city-state. In Greek society, the condition of idiocy was seen as peculiar and strange (a meaning that is retained in the English word 'idiosyncratic'); thus 'idiot' was a term of reproach and disdain. ...""""  That's our guy!  -- Paul
"
5053,1,"Regain the voice of the voters would be the main argument for people who admire an ignoramous like O’Leary! Come on, give me a break. Promises, promises, promises. Canadians are not as dumb as their American redneck counterparts. America is a divided nation while Canada is not. Why would Canadians vote against their own interest. Look at the whole of social programs.
"
5060,1,"Glad to hear it Rambo - hope you get a chance to try out all the bravery some time.  Idiot.
"
5090,1,"Well, let's just say you are probably someone who watches Hannity and Alex Jones is actually a news source. Even though you low info folks believe all this crap, Trump and his crew have proven to be liars. Only THE VILLAGE idiot can not follow the lies that have been told. Just look at the little one. NOBODY FROM THE CAMPAIGN TALKED TO ANYONE FROM RUSSIA. I don't have to accuse, just follow all the lies that have been told. Only a dumb a$$ with blinders on can not see it. But you have a good day in your dream world  Oh by the way, the secret service pointed out that Trumps attny was lying. Jr wasn't even under Secret Service protection when he met with the Russians. Read the article, The secret service does not vete anyone except for security reasons. TRUMPS LAWYER LIED ABOUT IT
"
5091,1,"Once again, your reaction is to immediately accuse - and even more immediately if the person you're accusing is a priest  I understand English perfectly well.  Do you?  Did you read my remarks?  Did YOU hear the alleged conversation Steven referred to?  The tonality of the remark?...the circumstance?...the way Steven said the priest was asked """"to defend such a senseless move""""?  Not exactly the way one might phrase a question in pleasant society.  Even Steven has not said that he actually heard the comment.  All he did was post it here  I'm not sure who the """"jerk"""" is here.  But it's not me.
"
5095,1,"It's not public cash.  It's shareholder's cash.  Not your concern what a corporation does with shareholder's cash.  Your comment is ridiculous.
"
5112,1,"Hang-em high.
"
5118,1,"I think the reality of the matter is that the deceased was born with a penis.  No matter how much I want to be a T-Rex, I simply can't be one and as a non-delusional person, I acknowledge that.
"
5119,1,"Come on, Dick, and quit being such a stupid hypocrite.  Unions were good enough so as long as you get yours and the hell with everyone else.  Isn't that what you like to tout every time your rear your head an union bash?  Boy, I'd like for a bunch of your former co-workers to come forward and give this reading audience a profile who what it was like being forced to work with or around you.  I'll bet there was many times your co-workers would've loved to throw you in the back of the garbage truck and haul you off to the dump.  Correct?
"
5130,1,"Perhaps any money he has left over from his campaign, he can donate back to the State of Colorado in response to the millions of dollars he wasted trying to kill someone who is mentally ill.
"
5141,1,"~ WE USE HYDRO IDIOT. YOU HAVE BEEN TOLD 20 TIMES NOW.
"
5143,1,"Our own jihadi siege on Parliament is quite specifically not mentioned in any news coverage.  Our own murderous Jihadist is benignly forgotten. And Harper is still ridiculed  for been hustled out  a side door  by RCMP to save his live.  None of that matters. Mansbridge just keeps asking the same  dumb questions """" How could this happen?""""  to instill amnesia,  leading us to think that this is a completely  unique event. Remembering the killing at the Cenotaph in Ottawa would be Islamophobic.
"
5157,1,"_""""Why do the Khans get special and national exposure at the DNC? Because they’re Muslim. It’s PC BS pure and simple.""""_ -- 4:20  In fairness, I think the reason that the Muslim parents of a soldier who died in combat were provided a forum is to emphasize that not all Muslims are terrorists (just as all Christians don't follow Christ's teachings). Of course, the Khan's were speaking only to people who don't have hearts filled with hate and minds filled with Fox News garbage.  -- Paul
"
5169,1,"Indeed, Liberal Dementia is a social disease, a mental illness.
"
5188,1,"does the fact that he refused to rent to black people count? Or is that fake news?
"
5232,1,"yes the truth is coming out fuck you satanic elites burn in hell where you belong
"
5236,1,"Fedup - you really shouldn't talk about yourself like that... It's unhealthy and you MIGHT need more mental help than you think you do now.. I'm sorry if you think YOURSELF as an idiot, it's tough when you have low self esteem but their is help for you, might even be covered under Obamacare..
"
5281,1,"Burn Baby, Burn.
"
5328,1,"Sad to say Ron, but the Donald should be attacked.  Come on Donald show us your tax returns.  You promised.  Ron, why do you still defend a liar?  Hell, he makes GW look honest.  Who cares about Hollywood celebrities?  Hasn't it always been a place of loose sex?  But the Donald is president and should not be grabbing women's privates.
"
5335,1,"Black men a responsible for 60% of murders.  How many are deer responsible for?
"
5369,1,"Putin and Trump are just as narcissistic, but Trump hasn't killed his opposition, as Putin has. Trump hasn't routinely killed journalists that speak out against him, as Putin has. Trump hasn't enriched himself as President, as Putin has. Trump hasn't supported dictators who use Sarin gas on their own people, as Putin has.  You are a Putin puppet, so I have no doubt that when the evidence is proven that Assad launched this gas attack, as he has done in the past, you will disavow it and label it """"fake news"""". And it bemuses me when you accuse Trump of being """"crazy"""" when it's clear your dear leader is really just that. Putin is a crazy, greedy, corrupt thug.
"
5383,1,"^Demented and trippin' BALLS^
"
5403,1,"Fuck the police
"
5413,1,"Wee Burney seems to have made a tactical error - she's absolutely useless.
"
5415,1,"Hmmmm..... Hmmmm... Much whine in this hag I do see. Whining to fear leads it does. Fear to anger leads it does. And in anger turn to the dark side does she. Hmmm... Hmmmm...and great fibs do I see her tell.....Hmmm Hmmm... maybe any getting she is not? Hmmmm...
"
5481,1,"the same for me, I never felt any other way.   even as a stupid teen who tried cold showers, fasting, prayers, using a discipline, etc, etc.   never worked.
"
5493,1,"80% of private sector workers have no pension.   84% of public sector workers have defined pensions.    Trudeau and Morneau are hypocrites.
"
5501,1,"I don't feed Trolls. Here is a funny definition someone gave me long ago:  The term troll comes from a fishing method where a bored and dejected fisherman drags a dead and smelly red herring through the water hoping something will take the bait and liven up his otherwise blissfully ignorant existence.
"
5506,1,"Muslims aren't stupid. They can see that they all are targets. Here's Trump's official policy statement during his campaign.  And note the cheering from the crowd. https://youtu.be/viDffWUjcBA He has an agenda and he'll proceed to carry it out, just like his other campaign promises, and his supporters will praise him for it.  The current ban is just the first step.
"
